date,cases,real
2020-01-20,0,1
2020-01-21,1,0
2020-01-22,3,8
2020-01-23,7,15
2020-01-24,12,31
2020-01-25,16,30
2020-01-26,20,44
2020-01-27,25,44
2020-01-28,28,48
2020-01-29,33,47
2020-01-30,34,66
2020-01-31,37,63
2020-02-01,37,42
2020-02-02,41,66
2020-02-03,47,82
2020-02-04,52,86
2020-02-05,51,79
2020-02-06,56,97
2020-02-07,51,65
2020-02-08,49,77
2020-02-09,45,55
2020-02-10,45,58
2020-02-11,44,44
2020-02-12,46,45
2020-02-13,46,51
2020-02-14,42,24
2020-02-15,39,32
2020-02-16,38,18
2020-02-17,38,11
2020-02-18,33,10
2020-02-19,32,7
2020-02-20,30,6
2020-02-21,26,0
2020-02-22,24,1
2020-02-23,23,2
2020-02-24,21,0
2020-02-25,19,1
2020-02-26,19,5
2020-02-27,19,1
2020-02-28,15,0
2020-02-29,13,0
2020-03-01,10,0
2020-03-02,9,0
2020-03-03,8,0
2020-03-04,8,1
2020-03-05,7,1
2020-03-06,6,0
2020-03-07,6,0
2020-03-08,5,0
2020-03-09,5,0
2020-03-10,4,1
2020-03-11,4,0
2020-03-12,3,0
2020-03-13,3,0
2020-03-14,3,0
2020-03-15,3,0
2020-03-16,2,0
2020-03-17,2,1
2020-03-18,2,1
2020-03-19,2,3
2020-03-20,2,1
2020-03-21,1,1
2020-03-22,1,1
2020-03-23,1,4
2020-03-24,1,3
2020-03-25,1,2
2020-03-26,1,1
2020-03-27,1,4
2020-03-28,1,4
2020-03-29,1,0
2020-03-30,1,1
2020-03-31,1,4
2020-04-01,1,2
2020-04-02,1,1
2020-04-03,2,2
2020-04-04,1,3
2020-04-05,1,1
2020-04-06,1,3
2020-04-07,1,0
